idiom,label,count
"cmp eax, cs:_n  | * | lea rdi, aD  ",xcode,1
"jge loc_1000018BD  | * | lea rax, _p ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_170] ",xcode,1
"lea rax, _p  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_170]  | * | add rax, rcx ",xcode,1
"shl rcx, 2  | * | mov rsi, rax ",xcode,1
"add rax, rcx  | * | mov al, 0 ",xcode,1
"mov rsi, rax  | * | call _scanf ",xcode,1
"mov al, 0  | * | lea rcx, [rbp+var_170] ",xcode,1
"call _scanf  | * | lea rsi, _v ",xcode,1
"lea rcx, [rbp+var_170]  | * | lea rdi, _p ",xcode,1
"lea rsi, _v  | * | movsxd rdx, [rbp+var_170] ",xcode,1
"lea rdi, _p  | * | mov r8d, [rdi+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_170]  | * | add r8d, 0FFFFFFFFh ",xcode,1
"mov r8d, [rdi+rdx*4]  | * | mov [rdi+rdx*4], r8d ",xcode,1
"add r8d, 0FFFFFFFFh  | * | movsxd rdx, [rbp+var_170] ",xcode,1
"mov [rdi+rdx*4], r8d  | * | movsxd rdx, dword ptr [rdi+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_170]  | * | imul rdx, 18h ",xcode,1
"movsxd rdx, dword ptr [rdi+rdx*4]  | * | add rsi, rdx ",xcode,1
"imul rdx, 18h  | * | mov [rbp+var_B0], rsi ",xcode,1
"add rsi, rdx  | * | mov [rbp+var_B8], rcx ",xcode,1
"mov [rbp+var_B0], rsi  | * | mov rcx, [rbp+var_B0] ",xcode,1
