idiom,label,count
"cmp eax, cs:_k  | * | lea rdi, aDD  ",xcode,1
"jge loc_1000017EB  | * | lea rax, _ans ",xcode,1
"lea rdi, aDD   | * | movsxd rcx, [rbp+var_510] ",xcode,1
"lea rax, _ans  | * | mov esi, [rax+rcx*8] ",xcode,1
"movsxd rcx, [rbp+var_510]  | * | movsxd rcx, [rbp+var_510] ",xcode,1
"mov esi, [rax+rcx*8]  | * | mov edx, [rax+rcx*8+4] ",xcode,1
"movsxd rcx, [rbp+var_510]  | * | mov al, 0 ",xcode,1
"mov edx, [rax+rcx*8+4]  | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_58C], eax ",xcode,1
"call _printf  | * | mov eax, [rbp+var_510] ",xcode,1
"mov [rbp+var_58C], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_510]  | * | mov [rbp+var_510], eax ",xcode,1
"add eax, 1  | * | jmp loc_100001793 ",xcode,1
"mov [rbp+var_510], eax  | * | loc_1000017EB:  ",xcode,1
"jmp loc_100001793  | * | lea rdi, byte_100008EFA  ",xcode,1
loc_1000017EB:   | * | call _puts ,xcode,1
"lea rdi, byte_100008EFA   | * | mov [rbp+var_501], 1 ",xcode,1
"call _puts  | * | mov [rbp+var_590], eax ",xcode,1
"mov [rbp+var_501], 1  | * | jmp loc_10000279C ",xcode,1
"mov [rbp+var_590], eax  | * | loc_100001809:  ",xcode,1
"jmp loc_10000279C  | * | lea rax, _a ",xcode,2
"loc_100001809:   | * | mov [rbp+var_500], rax ",xcode,1
"lea rax, _a  | * | mov rax, [rbp+var_500] ",xcode,1
"mov [rbp+var_500], rax  | * | mov [rbp+var_4F8], rax ",xcode,1
"mov rax, [rbp+var_500]  | * | mov rax, [rbp+var_4F8] ",xcode,1
"mov [rbp+var_4F8], rax  | * | add rax, 10h ",xcode,1
"mov rax, [rbp+var_4F8]  | * | mov [rbp+var_4F0], rax ",xcode,1
"add rax, 10h  | * | mov rax, [rbp+var_4F0] ",xcode,1
"mov [rbp+var_4F0], rax  | * | mov [rbp+var_4E8], rax ",xcode,1
"mov rax, [rbp+var_4F0]  | * | mov rax, [rbp+var_4E8] ",xcode,1
"mov [rbp+var_4E8], rax  | * | cmp qword ptr [rax], 0 ",xcode,1
"mov rax, [rbp+var_4E8]  | * | jnz loc_100001867 ",xcode,1
"cmp qword ptr [rax], 0  | * | mov [rbp+var_501], 0 ",xcode,1
jnz loc_100001867  | * | jmp loc_10000279C ,xcode,1
"mov [rbp+var_501], 0  | * | loc_100001867:  ",xcode,1
"loc_100001867:   | * | lea rcx, [rbp+var_330] ",xcode,1
"lea rax, _a  | * | lea rdx, [rbp+var_320] ",xcode,1
"lea rcx, [rbp+var_330]  | * | lea rsi, [rbp+var_518] ",xcode,1
"lea rdx, [rbp+var_320]  | * | lea rdi, [rbp+var_520] ",xcode,1
"lea rsi, [rbp+var_518]  | * | lea r8, [rbp+var_4D0] ",xcode,1
"lea rdi, [rbp+var_520]  | * | lea r9, [rbp+var_4C0] ",xcode,1
"lea r8, [rbp+var_4D0]  | * | mov [rbp+var_4D8], rax ",xcode,1
"lea r9, [rbp+var_4C0]  | * | mov r10, [rbp+var_4D8] ",xcode,1
"mov [rbp+var_4D8], rax  | * | mov [rbp+var_4C8], r10 ",xcode,1
"mov r10, [rbp+var_4D8]  | * | mov r10, [rbp+var_4C8] ",xcode,1
"mov [rbp+var_4C8], r10  | * | mov [rbp+var_4B8], r10 ",xcode,1
"mov r10, [rbp+var_4C8]  | * | mov r10, [rbp+var_4B8] ",xcode,1
"mov [rbp+var_4B8], r10  | * | mov r10, [r10] ",xcode,1
"mov r10, [rbp+var_4B8]  | * | mov [rbp+var_4A8], r9 ",xcode,1
"mov r10, [r10]  | * | mov [rbp+var_4B0], r10 ",xcode,1
"mov [rbp+var_4A8], r9  | * | mov r9, [rbp+var_4A8] ",xcode,1
"mov [rbp+var_4B0], r10  | * | mov r10, [rbp+var_4B0] ",xcode,1
"mov r9, [rbp+var_4A8]  | * | mov [rbp+var_498], r9 ",xcode,1
"mov r10, [rbp+var_4B0]  | * | mov [rbp+var_4A0], r10 ",xcode,1
"mov [rbp+var_498], r9  | * | mov r9, [rbp+var_498] ",xcode,1
"mov [rbp+var_4A0], r10  | * | mov r10, [rbp+var_4A0] ",xcode,1
"mov r9, [rbp+var_498]  | * | mov [r9], r10 ",xcode,1
"mov r10, [rbp+var_4A0]  | * | mov r9, [rbp+var_4C0] ",xcode,1
"mov [r9], r10  | * | mov [rbp+var_4E0], r9 ",xcode,1
"mov r9, [rbp+var_4C0]  | * | mov r9, [rbp+var_4E0] ",xcode,1
"mov [rbp+var_4E0], r9  | * | mov [rbp+var_488], r8 ",xcode,1
"mov r9, [rbp+var_4E0]  | * | mov [rbp+var_490], r9 ",xcode,1
"mov [rbp+var_488], r8  | * | mov r8, [rbp+var_488] ",xcode,1
"mov [rbp+var_490], r9  | * | mov r9, [rbp+var_490] ",xcode,1
"mov r8, [rbp+var_488]  | * | mov [rbp+var_478], r8 ",xcode,1
"mov r9, [rbp+var_490]  | * | mov [rbp+var_480], r9 ",xcode,1
"mov [rbp+var_478], r8  | * | mov r8, [rbp+var_478] ",xcode,1
"mov [rbp+var_480], r9  | * | mov r9, [rbp+var_480] ",xcode,1
"mov r8, [rbp+var_478]  | * | mov [r8], r9 ",xcode,1
"mov r9, [rbp+var_480]  | * | mov r8, [rbp+var_4D0] ",xcode,1
"mov [r8], r9  | * | mov [rbp+var_520], r8 ",xcode,1
"mov r8, [rbp+var_4D0]  | * | mov [rbp+var_470], rdi ",xcode,1
"mov [rbp+var_520], r8  | * | mov rdi, [rbp+var_470] ",xcode,1
"mov [rbp+var_470], rdi  | * | mov rdi, [rdi] ",xcode,1
"mov rdi, [rbp+var_470]  | * | add rdi, 1Ch ",xcode,1
"mov rdi, [rdi]  | * | mov [rbp+var_3D8], rsi ",xcode,1
"add rdi, 1Ch  | * | mov [rbp+var_3E0], rdi ",xcode,1
"mov [rbp+var_3D8], rsi  | * | mov rsi, [rbp+var_3D8] ",xcode,1
"mov [rbp+var_3E0], rdi  | * | mov rdi, [rbp+var_3E0] ",xcode,1
"mov rsi, [rbp+var_3D8]  | * | mov [rbp+var_3C8], rsi ",xcode,1
"mov rdi, [rbp+var_3E0]  | * | mov [rbp+var_3D0], rdi ",xcode,1
"mov [rbp+var_3C8], rsi  | * | mov rsi, [rbp+var_3C8] ",xcode,1
"mov [rbp+var_3D0], rdi  | * | mov rdi, [rbp+var_3D0] ",xcode,1
"mov rsi, [rbp+var_3C8]  | * | mov r11d, [rdi] ",xcode,1
"mov rdi, [rbp+var_3D0]  | * | mov [rsi], r11d ",xcode,1
"mov r11d, [rdi]  | * | mov rdi, [rbp+var_3D0] ",xcode,1
"mov [rsi], r11d  | * | mov r11d, [rdi+4] ",xcode,1
"mov rdi, [rbp+var_3D0]  | * | mov [rsi+4], r11d ",xcode,1
"mov r11d, [rdi+4]  | * | mov [rbp+var_338], rax ",xcode,1
"mov [rsi+4], r11d  | * | mov rsi, [rbp+var_338] ",xcode,1
"mov [rbp+var_338], rax  | * | mov [rbp+var_328], rsi ",xcode,1
"mov rsi, [rbp+var_338]  | * | mov rsi, [rbp+var_328] ",xcode,1
"mov [rbp+var_328], rsi  | * | mov [rbp+var_318], rsi ",xcode,1
"mov rsi, [rbp+var_328]  | * | mov rsi, [rbp+var_318] ",xcode,1
"mov [rbp+var_318], rsi  | * | mov rsi, [rsi] ",xcode,1
"mov rsi, [rbp+var_318]  | * | mov [rbp+var_308], rdx ",xcode,1
"mov rsi, [rsi]  | * | mov [rbp+var_310], rsi ",xcode,1
"mov [rbp+var_308], rdx  | * | mov rdx, [rbp+var_308] ",xcode,1
"mov [rbp+var_310], rsi  | * | mov rsi, [rbp+var_310] ",xcode,1
"mov rdx, [rbp+var_308]  | * | mov [rbp+var_2F8], rdx ",xcode,1
"mov rsi, [rbp+var_310]  | * | mov [rbp+var_300], rsi ",xcode,1
"mov [rbp+var_2F8], rdx  | * | mov rdx, [rbp+var_2F8] ",xcode,1
"mov [rbp+var_300], rsi  | * | mov rsi, [rbp+var_300] ",xcode,1
"mov rdx, [rbp+var_2F8]  | * | mov [rdx], rsi ",xcode,1
"mov rsi, [rbp+var_300]  | * | mov rdx, [rbp+var_320] ",xcode,1
"mov [rdx], rsi  | * | mov [rbp+var_340], rdx ",xcode,1
"mov rdx, [rbp+var_320]  | * | mov rdx, [rbp+var_340] ",xcode,1
"mov [rbp+var_340], rdx  | * | mov [rbp+var_2E8], rcx ",xcode,1
"mov rdx, [rbp+var_340]  | * | mov [rbp+var_2F0], rdx ",xcode,1
"mov [rbp+var_2E8], rcx  | * | mov rcx, [rbp+var_2E8] ",xcode,1
"mov [rbp+var_2F0], rdx  | * | mov rdx, [rbp+var_2F0] ",xcode,1
"mov rcx, [rbp+var_2E8]  | * | mov [rbp+var_2D8], rcx ",xcode,1
