idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"cmp esi, ebx  | * | mov edx, ebx ",msvc,1
"jle short loc_40130E  | * | mov edi, offset dword_406310 ",msvc,1
"mov edx, ebx  | * | loc_4012D8:  ",msvc,1
"mov edi, offset dword_406310  | * | test ebx, ebx ",msvc,1
loc_4012D8:   | * | jz short loc_40130E ,msvc,1
"test ebx, ebx  | * | mov ecx, [edi] ",msvc,1
"jz short loc_40130E  | * | lea eax, [edx-1] ",msvc,1
"mov ecx, [edi]  | * | cmp ecx, eax ",msvc,1
"lea eax, [edx-1]  | * | jle short loc_40130C ",msvc,1
"cmp ecx, eax  | * | mov eax, edx ",msvc,1
"jle short loc_40130C  | * | cmp edx, ecx ",msvc,1
"mov eax, edx  | * | jge short loc_401302 ",msvc,1
"cmp edx, ecx  | * | jmp short loc_4012F0 ",msvc,1
jge short loc_401302  | * | align 10h ,msvc,1
jmp short loc_4012F0  | * | loc_4012F0:  ,msvc,1
"align 10h  | * | cmp dword_406310[eax*4], ecx ",msvc,1
loc_4012F0:   | * | jg short loc_401300 ,msvc,1
"cmp dword_406310[eax*4], ecx  | * | inc eax ",msvc,1
"jg short loc_401300  | * | cmp eax, ecx ",msvc,1
inc eax  | * | jl short loc_4012F0 ,msvc,1
"cmp eax, ecx  | * | jmp short loc_401302 ",msvc,1
jl short loc_4012F0  | * | loc_401300:  ,msvc,1
"jmp short loc_401302  | * | xor ebx, ebx ",msvc,1
loc_401300:   | * | loc_401302:  ,msvc,1
"xor ebx, ebx  | * | inc edx ",msvc,1
"loc_401302:   | * | add edi, 4 ",msvc,1
"inc edx  | * | cmp edx, esi ",msvc,1
"add edi, 4  | * | jl short loc_4012D8 ",msvc,1
"cmp edx, esi  | * | jmp short loc_40130E ",msvc,1
jl short loc_4012D8  | * | loc_40130C:  ,msvc,1
"jmp short loc_40130E  | * | xor ebx, ebx ",msvc,1
loc_40130C:   | * | loc_40130E:  ,msvc,1
"xor ebx, ebx  | * | mov ecx, [esp+30h+var_1C] ",msvc,1
"loc_40130E:   | * | mov edx, ds:?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"mov ecx, [esp+30h+var_1C]  | * | push offset asc_403160  ",msvc,1
"mov edx, ds:?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A   | * | push ecx ",msvc,1
push offset asc_403160   | * | push offset aCase  ,msvc,1
push ecx  | * | push edx ,msvc,1
push offset aCase   | * | call sub_4016E0 ,msvc,1
"push edx  | * | add esp, 8 ",msvc,1
"call sub_4016E0  | * | mov ecx, eax ",msvc,2
"add esp, 8  | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z  ",msvc,1
"mov ecx, eax  | * | push eax ",msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z   | * | call sub_4016E0 ,msvc,2
"push eax  | * | xor esi, esi ",msvc,1
"call sub_4016E0  | * | add esp, 8 ",msvc,1
"xor esi, esi  | * | cmp ebx, esi ",msvc,1
"add esp, 8  | * | jnz short loc_401356 ",msvc,1
"cmp ebx, esi  | * | push offset aImpossible  ",msvc,1
jnz short loc_401356  | * | call ds:printf ,msvc,1
"push offset aImpossible   | * | add esp, 4 ",msvc,1
call ds:printf  | * | jmp loc_4014F4 ,msvc,1
"add esp, 4  | * | loc_401356:  ",msvc,1
"jmp loc_4014F4  | * | mov eax, dword_406308 ",msvc,1
loc_401356:   | * | push esi ,msvc,1
"mov eax, dword_406308  | * | mov dword_4043C4[eax*4], esi ",msvc,1
push esi  | * | dec eax ,msvc,1
"mov dword_4043C4[eax*4], esi  | * | push 1 ",msvc,1
dec eax  | * | push eax ,msvc,1
push 1  | * | call sub_401040 ,msvc,1
"push eax  | * | mov eax, dword_406308 ",msvc,1
"call sub_401040  | * | xor edi, edi ",msvc,1
"mov eax, dword_406308  | * | add esp, 0Ch ",msvc,1
"xor edi, edi  | * | xor ecx, ecx ",msvc,1
"add esp, 0Ch  | * | mov [esp+30h+var_14], edi ",msvc,1
"xor ecx, ecx  | * | cmp eax, esi ",msvc,1
"mov [esp+30h+var_14], edi  | * | jle short loc_4013A4 ",msvc,1
"cmp eax, esi  | * | loc_401380:  ",msvc,1
"jle short loc_4013A4  | * | mov edx, dword_4043C8[ecx*4] ",msvc,1
loc_401380:   | * | neg edx ,msvc,1
"mov edx, dword_4043C8[ecx*4]  | * | mov [esp+30h+var_10], edx ",msvc,1
"neg edx  | * | cmp edi, edx ",msvc,1
"mov [esp+30h+var_10], edx  | * | lea edx, [esp+30h+var_10] ",msvc,1
"cmp edi, edx  | * | jl short loc_401399 ",msvc,1
"lea edx, [esp+30h+var_10]  | * | lea edx, [esp+30h+var_14] ",msvc,1
jl short loc_401399  | * | loc_401399:  ,msvc,1
"lea edx, [esp+30h+var_14]  | * | mov edi, [edx] ",msvc,1
loc_401399:   | * | inc ecx ,msvc,1
"mov edi, [edx]  | * | mov [esp+30h+var_14], edi ",msvc,1
"inc ecx  | * | cmp ecx, eax ",msvc,2
"mov [esp+30h+var_14], edi  | * | jl short loc_401380 ",msvc,1
"cmp ecx, eax  | * | loc_4013A4:  ",msvc,1
"jl short loc_401380  | * | test eax, eax ",msvc,1
loc_4013A4:   | * | jle short loc_4013D2 ,msvc,1
"test eax, eax  | * | jmp short loc_4013B0 ",msvc,1
jle short loc_4013D2  | * | align 10h ,msvc,1
jmp short loc_4013B0  | * | loc_4013B0:  ,msvc,1
"align 10h  | * | mov eax, dword_4043C8[esi*4] ",msvc,1
"loc_4013B0:   | * | add eax, edi ",msvc,1
"mov eax, dword_4043C8[esi*4]  | * | push eax ",msvc,1
"add eax, edi  | * | push offset aD  ",msvc,1
push eax  | * | call ds:printf ,msvc,1
"push offset aD   | * | mov eax, dword_406308 ",msvc,1
call ds:printf  | * | inc esi ,msvc,1
"mov eax, dword_406308  | * | add esp, 8 ",msvc,1
"inc esi  | * | cmp esi, eax ",msvc,1
"add esp, 8  | * | jl short loc_4013B0 ",msvc,1
"cmp esi, eax  | * | loc_4013D2:  ",msvc,1
"jl short loc_4013B0  | * | mov esi, 1 ",msvc,1
"loc_4013D2:   | * | xor ecx, ecx ",msvc,1
"mov esi, 1  | * | mov [esp+30h+var_18], esi ",msvc,1
"xor ecx, ecx  | * | test eax, eax ",msvc,1
"mov [esp+30h+var_18], esi  | * | jle short loc_4013FD ",msvc,1
"test eax, eax  | * | loc_4013E1:  ",msvc,1
"jle short loc_4013FD  | * | mov edx, dword_4043C8[ecx*4] ",msvc,1
"loc_4013E1:   | * | add edx, edi ",msvc,1
"mov edx, dword_4043C8[ecx*4]  | * | cmp edx, 3B9ACA00h ",msvc,1
"add edx, edi  | * | jle short loc_4013F4 ",msvc,1
"cmp edx, 3B9ACA00h  | * | xor esi, esi ",msvc,1
jle short loc_4013F4  | * | loc_4013F4:  ,msvc,1
"xor esi, esi  | * | inc ecx ",msvc,1
"loc_4013F4:   | * | cmp ecx, eax ",msvc,1
inc ecx  | * | jl short loc_4013E1 ,msvc,1
"cmp ecx, eax  | * | mov [esp+30h+var_18], esi ",msvc,1
jl short loc_4013E1  | * | loc_4013FD:  ,msvc,1
"mov [esp+30h+var_18], esi  | * | cmp eax, 1 ",msvc,1
loc_4013FD:   | * | jle loc_4014C1 ,msvc,1
"cmp eax, 1  | * | mov edx, 2 ",msvc,1
"jle loc_4014C1  | * | xor edi, edi ",msvc,1
"mov edx, 2  | * | mov [esp+30h+var_14], edx ",msvc,1
"xor edi, edi  | * | mov [esp+30h+var_10], edi ",msvc,1
"mov [esp+30h+var_14], edx  | * | loc_401415:  ",msvc,1
"mov [esp+30h+var_10], edi  | * | lea ebx, [edx-1] ",msvc,1
"loc_401415:   | * | mov [esp+30h+var_20], ebx ",msvc,1
"lea ebx, [edx-1]  | * | mov ecx, edx ",msvc,1
"mov [esp+30h+var_20], ebx  | * | cmp edx, eax ",msvc,1
"mov ecx, edx  | * | jge short loc_40149C ",msvc,1
