idiom,label,count
"loc_4013A7:   | * | pxor xmm0, xmm0 ",icc,1
"mov eax, 80h  | * | movq qword ptr cs:xmmword_6132A0, xmm0 ",icc,1
"pxor xmm0, xmm0  | * | loc_4013B8:  ",icc,1
"movq qword ptr cs:xmmword_6132A0, xmm0  | * | pxor xmm0, xmm0 ",icc,1
"loc_4013B8:   | * | movaps ds:xmmword_613210[rax], xmm0 ",icc,1
"pxor xmm0, xmm0  | * | movaps ds:xmmword_613200[rax], xmm0 ",icc,1
"movaps ds:xmmword_613210[rax], xmm0  | * | movaps ds:xmmword_6131F0[rax], xmm0 ",icc,1
"movaps ds:xmmword_613200[rax], xmm0  | * | movaps ds:xmmword_6131E0[rax], xmm0 ",icc,1
"movaps ds:xmmword_6131F0[rax], xmm0  | * | sub rax, 40h  ",icc,1
"movaps ds:xmmword_6131E0[rax], xmm0  | * | jnz short loc_4013B8 ",icc,1
"sub rax, 40h   | * | mov eax, 80h ",icc,1
"jnz short loc_4013B8  | * | pxor xmm0, xmm0 ",icc,1
"mov eax, 80h  | * | movq cs:qword_613340, xmm0 ",icc,1
"pxor xmm0, xmm0  | * | loc_4013EF:  ",icc,1
"movq cs:qword_613340, xmm0  | * | pxor xmm0, xmm0 ",icc,1
"loc_4013EF:   | * | movaps ds:xmmword_6132B0[rax], xmm0 ",icc,1
"pxor xmm0, xmm0  | * | movaps ds:xmmword_6132A0[rax], xmm0 ",icc,1
"movaps ds:xmmword_6132B0[rax], xmm0  | * | movaps ds:xmmword_613290[rax], xmm0 ",icc,1
"movaps ds:xmmword_6132A0[rax], xmm0  | * | movaps ds:xmmword_613280[rax], xmm0 ",icc,1
"movaps ds:xmmword_613290[rax], xmm0  | * | sub rax, 40h  ",icc,1
"movaps ds:xmmword_613280[rax], xmm0  | * | jnz short loc_4013EF ",icc,1
"sub rax, 40h   | * | mov edi, offset g ",icc,1
"jnz short loc_4013EF  | * | xor esi, esi ",icc,1
"mov edi, offset g  | * | mov edx, 1210h ",icc,1
"xor esi, esi  | * | call _intel_fast_memset ",icc,1
"mov edx, 1210h  | * | mov r10d, cs:m ",icc,1
