idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"lea rsi, [rbp+var_8]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov [rbp+var_4], 0  | * | mov [rbp+var_C], 0 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_18], rax ",xcode,1
"mov [rbp+var_C], 0  | * | loc_100000B4A:  ",xcode,1
"mov [rbp+var_18], rax  | * | mov eax, [rbp+var_C] ",xcode,1
"loc_100000B4A:   | * | cmp eax, [rbp+var_8] ",xcode,1
"mov eax, [rbp+var_C]  | * | jge loc_100000B8B ",xcode,1
"cmp eax, [rbp+var_8]  | * | call __Z4readv  ",xcode,1
"jge loc_100000B8B  | * | lea rdi, aCaseD  ",xcode,1
"call __Z4readv   | * | mov eax, [rbp+var_C] ",xcode,1
"lea rdi, aCaseD   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_C]  | * | mov esi, eax ",xcode,1
"add eax, 1  | * | mov al, 0 ",xcode,1
"mov esi, eax  | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_1C], eax ",xcode,1
call _printf  | * | call __Z5solvev  ,xcode,1
"mov [rbp+var_1C], eax  | * | mov eax, [rbp+var_C] ",xcode,1
"call __Z5solvev   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_C]  | * | mov [rbp+var_C], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000B4A ",xcode,1
"mov [rbp+var_C], eax  | * | loc_100000B8B:  ",xcode,1
"jmp loc_100000B4A  | * | mov eax, 0 ",xcode,1
"loc_100000B8B:   | * | add rsp, 20h ",xcode,1
"mov eax, 0  | * | pop rbp ",xcode,1
"add rsp, 20h  | * | retn ",xcode,1
pop rbp  | * | _main endp ,xcode,1
_main endp  | * | __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_ proc near ,xcode,1
var_88 = qword ptr -88h  | * | var_78 = dword ptr -78h ,data,1
var_80 = qword ptr -80h  | * | var_71 = byte ptr -71h ,data,1
var_71 = byte ptr -71h  | * | var_64 = dword ptr -64h ,data,1
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,2
var_64 = dword ptr -64h  | * | var_58 = qword ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,2
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,2
var_50 = qword ptr -50h  | * | var_3C = dword ptr -3Ch ,data,1
var_3C = dword ptr -3Ch  | * | var_30 = byte ptr -30h ,data,1
var_38 = qword ptr -38h  | * | var_21 = byte ptr -21h ,data,1
var_30 = byte ptr -30h  | * | var_20 = qword ptr -20h ,data,1
var_21 = byte ptr -21h  | * | var_18 = qword ptr -18h ,data,1
var_20 = qword ptr -20h  | * | var_9 = byte ptr -9 ,data,1
"push rbp  | * | sub rsp, 90h ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_48], rdi ",xcode,1
"sub rsp, 90h  | * | mov rax, rdi ",xcode,1
"mov [rbp+var_48], rdi  | * | mov rcx, [rdi] ",xcode,1
"mov rax, rdi  | * | mov rcx, [rcx-18h] ",xcode,1
"mov rcx, [rdi]  | * | add rdi, rcx ",xcode,1
"mov rcx, [rcx-18h]  | * | mov [rbp+var_20], rdi ",xcode,1
"add rdi, rcx  | * | mov [rbp+var_21], 0Ah ",xcode,1
"mov [rbp+var_20], rdi  | * | mov rsi, [rbp+var_20] ",xcode,1
"mov [rbp+var_21], 0Ah  | * | lea rcx, [rbp+var_30] ",xcode,1
"mov rsi, [rbp+var_20]  | * | mov rdi, rcx  ",xcode,1
"lea rcx, [rbp+var_30]  | * | mov [rbp+var_50], rax ",xcode,1
"mov rdi, rcx   | * | mov [rbp+var_58], rcx ",xcode,1
"mov [rbp+var_50], rax  | * | call __ZNKSt3__18ios_base6getlocEv  ",xcode,1
"mov [rbp+var_58], rcx  | * | mov rax, [rbp+var_58] ",xcode,1
"call __ZNKSt3__18ios_base6getlocEv   | * | mov [rbp+var_18], rax ",xcode,1
"mov rax, [rbp+var_58]  | * | mov rsi, cs:__ZNSt3__15ctypeIcE2idE_ptr ",xcode,1
"mov [rbp+var_18], rax  | * | mov rdi, rax ",xcode,1
