idiom,label,count
"mov [rbp+var_1A0], rdx  | * | mov rdx, [rbp+var_1A0] ",xcode,2
"mov rcx, [rbp+var_198]  | * | mov [rcx], rdx ",xcode,1
"mov rdx, [rbp+var_1A0]  | * | mov rcx, [rbp+var_1F0] ",xcode,1
"mov [rcx], rdx  | * | mov [rbp+var_350], rcx ",xcode,1
"mov rcx, [rbp+var_1F0]  | * | mov [rbp+var_190], rax ",xcode,1
"mov [rbp+var_350], rcx  | * | mov rax, [rbp+var_190] ",xcode,1
"mov [rbp+var_190], rax  | * | mov rax, [rax] ",xcode,1
"mov rax, [rbp+var_190]  | * | add rax, 1Ch ",xcode,1
"mov rax, [rax]  | * | mov [rbp+var_188], rax ",xcode,1
"add rax, 1Ch  | * | mov rax, [rbp+var_188] ",xcode,1
"mov [rbp+var_188], rax  | * | mov [rbp+var_180], rax ",xcode,1
"mov rax, [rbp+var_188]  | * | mov rax, [rbp+var_180] ",xcode,1
"mov [rbp+var_180], rax  | * | mov edi, [rax] ",xcode,1
"mov rax, [rbp+var_180]  | * | mov [rbp+var_348], edi ",xcode,1
"mov edi, [rax]  | * | loc_100001416:  ",xcode,1
"mov [rbp+var_348], edi  | * | lea rax, [rbp+var_160] ",xcode,1
"loc_100001416:   | * | lea rcx, [rbp+var_358] ",xcode,1
"lea rax, [rbp+var_160]  | * | lea rdx, [rbp+var_354] ",xcode,1
"lea rcx, [rbp+var_358]  | * | mov esi, [rbp+var_33C] ",xcode,1
"lea rdx, [rbp+var_354]  | * | add esi, [rbp+var_348] ",xcode,1
"mov esi, [rbp+var_33C]  | * | mov [rbp+var_354], esi ",xcode,1
"add esi, [rbp+var_348]  | * | mov esi, cs:_m ",xcode,1
"mov [rbp+var_354], esi  | * | add esi, 1 ",xcode,1
"mov esi, cs:_m  | * | mov [rbp+var_358], esi ",xcode,1
"add esi, 1  | * | mov [rbp+var_168], rdx ",xcode,1
"mov [rbp+var_358], esi  | * | mov [rbp+var_170], rcx ",xcode,1
"mov [rbp+var_168], rdx  | * | mov rcx, [rbp+var_168] ",xcode,2
"mov [rbp+var_170], rcx  | * | mov rdx, [rbp+var_170] ",xcode,1
"mov rcx, [rbp+var_168]  | * | mov [rbp+var_150], rcx ",xcode,2
"mov rdx, [rbp+var_170]  | * | mov [rbp+var_158], rdx ",xcode,2
"mov [rbp+var_150], rcx  | * | mov rcx, [rbp+var_158] ",xcode,1
"mov [rbp+var_158], rdx  | * | mov rdx, [rbp+var_150] ",xcode,1
"mov rcx, [rbp+var_158]  | * | mov [rbp+var_138], rax ",xcode,1
"mov rdx, [rbp+var_150]  | * | mov [rbp+var_140], rcx ",xcode,1
"mov [rbp+var_138], rax  | * | mov [rbp+var_148], rdx ",xcode,1
"mov [rbp+var_140], rcx  | * | mov rax, [rbp+var_140] ",xcode,2
"mov [rbp+var_148], rdx  | * | mov esi, [rax] ",xcode,1
"mov rax, [rbp+var_140]  | * | mov rax, [rbp+var_148] ",xcode,1
"mov esi, [rax]  | * | cmp esi, [rax] ",xcode,2
"mov rax, [rbp+var_148]  | * | jge loc_1000014C7 ",xcode,1
"cmp esi, [rax]  | * | mov rax, [rbp+var_158] ",xcode,1
"jge loc_1000014C7  | * | mov [rbp+var_390], rax ",xcode,1
"mov rax, [rbp+var_158]  | * | jmp loc_1000014D5 ",xcode,1
"mov [rbp+var_390], rax  | * | loc_1000014C7:  ",xcode,1
"jmp loc_1000014D5  | * | mov rax, [rbp+var_150] ",xcode,1
"loc_1000014C7:   | * | mov [rbp+var_390], rax ",xcode,1
"mov rax, [rbp+var_150]  | * | loc_1000014D5:  ",xcode,1
"mov [rbp+var_390], rax  | * | mov rax, [rbp+var_390] ",xcode,1
"loc_1000014D5:   | * | lea rcx, _cnt ",xcode,1
"mov rax, [rbp+var_390]  | * | mov edx, [rax] ",xcode,1
"lea rcx, _cnt  | * | mov [rbp+var_33C], edx ",xcode,1
"mov edx, [rax]  | * | mov edx, [rbp+var_33C] ",xcode,1
"mov [rbp+var_33C], edx  | * | movsxd rax, [rbp+var_344] ",xcode,1
"mov edx, [rbp+var_33C]  | * | mov [rcx+rax*4], edx ",xcode,1
"movsxd rax, [rbp+var_344]  | * | loc_1000014FB:  ",xcode,1
"mov [rcx+rax*4], edx  | * | mov al, 0 ",xcode,1
"loc_1000014FB:   | * | mov ecx, [rbp+var_340] ",xcode,1
"mov al, 0  | * | cmp ecx, cs:_n ",xcode,1
