idiom,label,count
"mov rsi, rax  | * | lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_  ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm   | * | mov [rbp+var_18], rax ",xcode,1
"lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_   | * | mov [rbp+var_20], rsi ",xcode,1
"mov [rbp+var_18], rax  | * | mov rdi, [rbp+var_18] ",xcode,1
"mov [rbp+var_20], rsi  | * | call [rbp+var_20] ",xcode,1
"mov rdi, [rbp+var_18]  | * | mov [rbp+var_48], rax ",xcode,1
call [rbp+var_20]  | * | call __Z4readv  ,xcode,1
"mov [rbp+var_48], rax  | * | lea rdi, aCaseD  ",xcode,1
"call __Z4readv   | * | mov ecx, [rbp+var_2C] ",xcode,1
"lea rdi, aCaseD   | * | add ecx, 1 ",xcode,1
"mov ecx, [rbp+var_2C]  | * | mov esi, ecx ",xcode,1
"add ecx, 1  | * | mov al, 0 ",xcode,1
"mov esi, ecx  | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_4C], eax ",xcode,1
call _printf  | * | call __Z5solvev  ,xcode,1
"mov [rbp+var_4C], eax  | * | mov eax, [rbp+var_2C] ",xcode,1
"call __Z5solvev   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_2C]  | * | mov [rbp+var_2C], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000009AA ",xcode,1
"mov [rbp+var_2C], eax  | * | loc_100000A51:  ",xcode,1
"jmp loc_1000009AA  | * | mov rdi, cs:__ZNSt3__14cerrE_ptr ",xcode,1
"loc_100000A51:   | * | mov esi, [rbp+var_28] ",xcode,1
"mov esi, [rbp+var_28]  | * | lea rsi, asc_100001F34  ",xcode,1
"mov rdi, rax  | * | mov [rbp+var_58], rax ",xcode,1
"mov [rbp+var_58], rax  | * | mov rdi, [rbp+var_58] ",xcode,1
"mov rdi, [rbp+var_58]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm  ",xcode,1
"mov rsi, rax  | * | mov ecx, 0 ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm   | * | lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_  ",xcode,1
"mov ecx, 0  | * | mov [rbp+var_8], rax ",xcode,1
"lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_   | * | mov [rbp+var_10], rsi ",xcode,1
"mov [rbp+var_8], rax  | * | mov rdi, [rbp+var_8] ",xcode,1
"mov [rbp+var_10], rsi  | * | mov [rbp+var_5C], ecx ",xcode,1
"mov rdi, [rbp+var_8]  | * | call [rbp+var_10] ",xcode,1
"mov [rbp+var_5C], ecx  | * | mov ecx, [rbp+var_5C] ",xcode,1
"call [rbp+var_10]  | * | mov [rbp+var_68], rax ",xcode,1
"mov ecx, [rbp+var_5C]  | * | mov eax, ecx ",xcode,1
"mov [rbp+var_68], rax  | * | add rsp, 70h ",xcode,1
"mov eax, ecx  | * | pop rbp ",xcode,1
"add rsp, 70h  | * | retn ",xcode,1
pop rbp  | * | _main endp ,xcode,1
_main endp  | * | __ZNSt3__1lsINS_11char_traitsIcEEEERNS_13basic_ostreamIcT_EES6_c proc near ,xcode,1
var_180 = qword ptr -180h  | * | var_169 = byte ptr -169h ,data,1
var_178 = qword ptr -178h  | * | var_168 = dword ptr -168h ,data,1
var_169 = byte ptr -169h  | * | var_164 = dword ptr -164h ,data,1
var_168 = dword ptr -168h  | * | var_160 = qword ptr -160h ,data,1
var_164 = dword ptr -164h  | * | var_151 = byte ptr -151h ,data,1
var_160 = qword ptr -160h  | * | var_150 = qword ptr -150h ,data,3
var_151 = byte ptr -151h  | * | var_144 = dword ptr -144h ,data,1
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,3
var_144 = dword ptr -144h  | * | var_138 = qword ptr -138h ,data,1
var_140 = qword ptr -140h  | * | var_130 = qword ptr -130h ,data,3
var_138 = qword ptr -138h  | * | var_128 = qword ptr -128h ,data,2
var_130 = qword ptr -130h  | * | var_120 = qword ptr -120h ,data,2
var_128 = qword ptr -128h  | * | var_118 = qword ptr -118h ,data,3
var_120 = qword ptr -120h  | * | var_110 = dword ptr -110h ,data,1
var_118 = qword ptr -118h  | * | var_109 = byte ptr -109h ,data,1
var_110 = dword ptr -110h  | * | var_108 = qword ptr -108h ,data,1
var_109 = byte ptr -109h  | * | var_100 = qword ptr -100h ,data,1
var_108 = qword ptr -108h  | * | var_F4 = dword ptr -0F4h ,data,1
